SourceID,TargetId,NameSimilarity,IsSourceContainer,IsTargetContainer,AbstractionLevelSeparation,IsSourceRequirement,IsSourceDiagram,IsSource Architecture,IsSourceSourceCode,IsSourceUnitTest,IsTargetRequirement,IsTargetDiagram,IsTargetArchitecture,IsTargetSourceCode,IsTargetUnitTest,Related,Provenance
di0C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc0C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelReadonly.graphml,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1
di1C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc1C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelReadonly.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di2C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc2C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelReadonly.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di3C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc3C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelReadonly.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di4C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc4C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelReadonly.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di5C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc5C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelReadonly.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di6C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc6C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelReadonly.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di7C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc0C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelWriteable.graphml,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1
di8C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc1C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelWriteable.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di9C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc2C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelWriteable.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di10C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc3C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelWriteable.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di11C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc4C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelWriteable.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di12C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc5C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelWriteable.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di13C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc6C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelWriteable.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di14C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc0C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelStub.graphml,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1
di15C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc1C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelStub.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di16C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc2C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelStub.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di17C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc3C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelStub.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di18C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc4C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelStub.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di19C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc5C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelStub.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di20C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc6C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\MazeModelStub.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di21C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc0C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1
di22C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc1C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di23C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc2C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di24C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc3C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di25C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc4C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di26C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc5C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di27C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc6C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di28C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc7C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di29C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc8C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di30C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc9C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,0.666666667,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di31C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc10C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di32C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc11C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di33C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc12C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di34C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc13C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di35C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc14C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di36C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc15C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di37C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc16C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di39C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc17C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
di40C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\UML\Revision19\GraphML\OldVersion\generatedUML.graphml,sc18C:\Users\Ildi\Dropbox\PhD\SharedBackup\Evaluation\MazeSolver\Evaluation Files\GeneratedXML\Revision19\OldVersion\Maze.graphml,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
